353,1,北海道,1,10,富良野線,10,338,北美瑛駅,9,上川郡,2,353,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.617884,142.479594
354,1,北海道,1,10,富良野線,10,339,美瑛駅,10,上川郡,2,354,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.591186,142.461639
362,1,北海道,1,11,宗谷本線,11,88,旭川駅,1,旭川市,2,88,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.763492,142.357803
363,1,北海道,1,11,宗谷本線,11,346,旭川四条駅,2,旭川市,2,363,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,43.764056,142.375815
364,1,北海道,1,11,宗谷本線,11,347,新旭川駅,3,旭川市,2,364,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,43.780174,142.384789
382,1,北海道,1,11,宗谷本線,11,365,名寄駅,21,名寄市,2,382,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,44.349403,142.465207
413,1,北海道,1,11,宗谷本線,11,396,南稚内駅,52,稚内市,2,413,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,45.398166,141.683026
415,1,北海道,1,12,石北本線,12,88,旭川駅,1,旭川市,2,88,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.763492,142.357803
416,1,北海道,1,12,石北本線,12,346,旭川四条駅,2,旭川市,2,363,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,43.764056,142.375815
417,1,北海道,1,12,石北本線,12,347,新旭川駅,3,旭川市,2,364,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,43.780174,142.384789
437,1,北海道,1,12,石北本線,12,417,遠軽駅,23,紋別郡,2,437,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,44.060278,143.520667
447,1,北海道,1,12,石北本線,12,427,北見駅,33,北見市,2,447,system,2019-11-20 18:22:12,system,2019-11-20 18:22:12,3,43.805504,143.898167
470,1,北海道,1,13,釧網本線,13,449,川湯温泉駅,14,川上郡,2,470,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.616258,144.457749
483,1,北海道,1,13,釧網本線,13,310,釧路駅,27,釧路市,2,324,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,42.990584,144.381983
485,1,北海道,1,15,学園都市線,15,61,札幌駅（ＪＲ）,1,札幌市,2,61,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.068612,141.350768
488,1,北海道,1,15,学園都市線,15,119,新川駅（北海道）,4,札幌市,2,121,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.098604,141.323824
499,1,北海道,1,16,札幌市営地下鉄南北線,16,461,麻生駅,1,札幌市,2,499,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.109106,141.338255
505,1,北海道,1,16,札幌市営地下鉄南北線,16,467,大通駅,7,札幌市,2,505,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.060479,141.354526
507,1,北海道,1,16,札幌市営地下鉄南北線,16,469,中島公園駅,9,札幌市,2,507,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.048892,141.354913
509,1,北海道,1,16,札幌市営地下鉄南北線,16,471,中の島駅,11,札幌市|豊平区,2,509,system,2014-12-12 17:44:20,system,2016-04-22 11:52:09,2,43.037727,141.360758
511,1,北海道,1,16,札幌市営地下鉄南北線,16,473,南平岸駅,13,札幌市|豊平区,2,511,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,43.026842,141.371355
512,1,北海道,1,16,札幌市営地下鉄南北線,16,474,澄川駅,14,札幌市,2,512,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.016845,141.367308
514,1,北海道,1,16,札幌市営地下鉄南北線,16,476,真駒内駅,16,札幌市,2,514,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,42.991134,141.358499
515,1,北海道,1,17,札幌市営地下鉄東西線,17,477,宮の沢駅,1,札幌市,2,515,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.089962,141.27717
516,1,北海道,1,17,札幌市営地下鉄東西線,17,478,発寒南駅,2,札幌市|西区,2,516,system,2014-12-12 17:44:20,system,2016-04-22 11:52:09,2,43.081732,141.289312
519,1,北海道,1,17,札幌市営地下鉄東西線,17,481,西28丁目駅,5,札幌市|中央区,2,519,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,43.060345,141.314522
520,1,北海道,1,17,札幌市営地下鉄東西線,17,482,円山公園駅,6,札幌市,2,520,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.055582,141.318863
521,1,北海道,1,17,札幌市営地下鉄東西線,17,483,西１８丁目駅,7,札幌市,2,521,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.057168,141.330204
523,1,北海道,1,17,札幌市営地下鉄東西線,17,467,大通駅,9,札幌市,2,505,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.060479,141.354526
526,1,北海道,1,17,札幌市営地下鉄東西線,17,487,東札幌駅,12,札幌市,2,526,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.051614,141.384922
528,1,北海道,1,17,札幌市営地下鉄東西線,17,489,南郷７丁目駅,14,札幌市,2,528,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.040091,141.411759
530,1,北海道,1,17,札幌市営地下鉄東西線,17,491,南郷18丁目駅,16,札幌市|白石区,2,530,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,43.030229,141.435196
531,1,北海道,1,17,札幌市営地下鉄東西線,17,492,大谷地駅,17,札幌市,2,531,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.028008,141.452972
537,1,北海道,1,18,東豊線,18,498,環状通東駅,4,札幌市|東区,2,537,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,43.082166,141.374643
538,1,北海道,1,18,東豊線,18,499,東区役所前駅,5,札幌市,2,538,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,43.078197,141.364769
541,1,北海道,1,18,東豊線,18,467,大通駅,8,札幌市,2,505,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.060479,141.354526
546,1,北海道,1,18,東豊線,18,505,月寒中央駅,13,札幌市,2,546,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,43.030553,141.396263
576,1,北海道,1,20,函館市電２系統,20,535,深堀町駅,6,函館市,2,576,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,41.787153,140.769947
581,1,北海道,1,20,函館市電２系統,20,540,千代台駅,11,函館市,2,581,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,41.784257,140.748532
590,1,北海道,1,20,函館市電2系統,20,549,十字街駅,20,函館市,2,590,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,41.763998,140.718513
599,1,北海道,1,21,函館市電5系統,21,535,深堀町駅,6,函館市,2,576,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,41.787153,140.769947
604,1,北海道,1,21,函館市電5系統,21,540,千代台駅,11,函館市,2,581,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,41.784257,140.748532
613,1,北海道,1,21,函館市電5系統,21,549,十字街駅,20,函館市,2,590,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,41.763998,140.718513
617,2,青森県,2,22,八戸線,1,559,長苗代駅,2,八戸市,7,617,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.52146,141.465907
619,2,青森県,2,22,八戸線,1,561,小中野駅,4,八戸市,7,619,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.518767,141.510032
621,2,青森県,2,22,八戸線,1,563,白銀駅,6,八戸市,7,621,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.522031,141.541648
654,2,青森県,2,24,奥羽本線,3,596,青森駅,15,青森市,7,654,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.828668,140.734738
687,2,青森県,2,26,津軽線,5,596,青森駅,1,青森市,7,654,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.828668,140.734738
709,2,青森県,2,27,東北新幹線,7,646,七戸十和田駅,2,上北郡,7,709,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,40.719861,141.154028
749,2,青森県,2,30,大鰐線,10,684,中央弘前駅,14,弘前市,7,749,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.599144,140.472203
759,2,青森県,2,32,青い森鉄道,12,692,下田駅,9,上北郡,7,759,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.591958,141.407965
761,2,青森県,2,32,青い森鉄道,12,694,三沢駅（青森県）,11,三沢市,7,761,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,40.669735,141.353649
777,2,青森県,2,32,青い森鉄道,12,596,青森駅,27,青森市,7,654,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,40.828668,140.734738
